SGR;signallingState;RD5
time;value;status
2019-07-11 00:00:00.000+0200;48;Grün
2019-07-11 00:00:06.000+0200;12;Gelb
2019-07-11 00:00:08.000+0200;3;Rot
2019-07-11 00:00:54.000+0200;15;Rot/Gelb
2019-07-11 00:00:55.000+0200;48;Grün
2019-07-11 00:01:18.000+0200;12;Gelb
2019-07-11 00:01:20.000+0200;3;Rot
2019-07-11 00:01:58.000+0200;15;Rot/Gelb
2019-07-11 00:01:59.000+0200;48;Grün
2019-07-11 00:02:30.000+0200;12;Gelb
2019-07-11 00:02:32.000+0200;3;Rot
2019-07-11 00:03:10.000+0200;15;Rot/Gelb
2019-07-11 00:03:11.000+0200;48;Grün
2019-07-11 00:03:42.000+0200;12;Gelb
2019-07-11 00:03:44.000+0200;3;Rot
2019-07-11 00:04:22.000+0200;15;Rot/Gelb
2019-07-11 00:04:23.000+0200;48;Grün
2019-07-11 00:05:02.000+0200;12;Gelb
2019-07-11 00:05:04.000+0200;3;Rot
2019-07-11 00:05:42.000+0200;15;Rot/Gelb
2019-07-11 00:05:43.000+0200;48;Grün
2019-07-11 00:06:06.000+0200;12;Gelb
2019-07-11 00:06:08.000+0200;3;Rot
2019-07-11 00:06:46.000+0200;15;Rot/Gelb
2019-07-11 00:06:47.000+0200;48;Grün
2019-07-11 00:07:18.000+0200;12;Gelb
2019-07-11 00:07:20.000+0200;3;Rot
2019-07-11 00:07:58.000+0200;15;Rot/Gelb
2019-07-11 00:07:59.000+0200;48;Grün
2019-07-11 00:08:30.000+0200;12;Gelb
2019-07-11 00:08:32.000+0200;3;Rot
2019-07-11 00:09:10.000+0200;15;Rot/Gelb
2019-07-11 00:09:11.000+0200;48;Grün
2019-07-11 00:09:42.000+0200;12;Gelb
2019-07-11 00:09:44.000+0200;3;Rot
2019-07-11 00:10:22.000+0200;15;Rot/Gelb
2019-07-11 00:10:23.000+0200;48;Grün
2019-07-11 00:11:02.000+0200;12;Gelb
2019-07-11 00:11:04.000+0200;3;Rot
2019-07-11 00:11:42.000+0200;15;Rot/Gelb
2019-07-11 00:11:43.000+0200;48;Grün
2019-07-11 00:12:06.000+0200;12;Gelb
2019-07-11 00:12:08.000+0200;3;Rot
2019-07-11 00:12:46.000+0200;15;Rot/Gelb
2019-07-11 00:12:47.000+0200;48;Grün
2019-07-11 00:13:18.000+0200;12;Gelb
2019-07-11 00:13:20.000+0200;3;Rot
2019-07-11 00:13:58.000+0200;15;Rot/Gelb
2019-07-11 00:13:59.000+0200;48;Grün
2019-07-11 00:14:30.000+0200;12;Gelb
2019-07-11 00:14:32.000+0200;3;Rot
2019-07-11 00:15:10.000+0200;15;Rot/Gelb
2019-07-11 00:15:11.000+0200;48;Grün
2019-07-11 00:15:42.000+0200;12;Gelb
2019-07-11 00:15:44.000+0200;3;Rot
2019-07-11 00:16:25.000+0200;15;Rot/Gelb
2019-07-11 00:16:26.000+0200;48;Grün
2019-07-11 00:16:54.000+0200;12;Gelb
2019-07-11 00:16:56.000+0200;3;Rot
2019-07-11 00:17:34.000+0200;15;Rot/Gelb
2019-07-11 00:17:35.000+0200;48;Grün
2019-07-11 00:18:06.000+0200;12;Gelb
2019-07-11 00:18:08.000+0200;3;Rot
2019-07-11 00:18:46.000+0200;15;Rot/Gelb
2019-07-11 00:18:47.000+0200;48;Grün
2019-07-11 00:19:18.000+0200;12;Gelb
2019-07-11 00:19:20.000+0200;3;Rot
2019-07-11 00:19:58.000+0200;15;Rot/Gelb
2019-07-11 00:19:59.000+0200;48;Grün
2019-07-11 00:20:30.000+0200;12;Gelb
2019-07-11 00:20:32.000+0200;3;Rot
2019-07-11 00:21:10.000+0200;15;Rot/Gelb
2019-07-11 00:21:11.000+0200;48;Grün
2019-07-11 00:21:42.000+0200;12;Gelb
2019-07-11 00:21:44.000+0200;3;Rot
2019-07-11 00:22:22.000+0200;15;Rot/Gelb
2019-07-11 00:22:23.000+0200;48;Grün
2019-07-11 00:22:54.000+0200;12;Gelb
2019-07-11 00:22:56.000+0200;3;Rot
2019-07-11 00:23:34.000+0200;15;Rot/Gelb
2019-07-11 00:23:35.000+0200;48;Grün
2019-07-11 00:24:06.000+0200;12;Gelb
2019-07-11 00:24:08.000+0200;3;Rot
2019-07-11 00:24:46.000+0200;15;Rot/Gelb
2019-07-11 00:24:47.000+0200;48;Grün
2019-07-11 00:25:18.000+0200;12;Gelb
2019-07-11 00:25:20.000+0200;3;Rot
2019-07-11 00:25:58.000+0200;15;Rot/Gelb
2019-07-11 00:25:59.000+0200;48;Grün
2019-07-11 00:26:30.000+0200;12;Gelb
2019-07-11 00:26:32.000+0200;3;Rot
2019-07-11 00:27:10.000+0200;15;Rot/Gelb
2019-07-11 00:27:11.000+0200;48;Grün
2019-07-11 00:27:42.000+0200;12;Gelb
2019-07-11 00:27:44.000+0200;3;Rot
